Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk
Mc_Clutcheon.txt	1	15812	36.64	28.88	71.45	6.65	17.77	13.08	83.52	8.21	3.22	4.93	0.20	3.35	0.52	8.88	0.32	0.56	0.71	1.11	5.42	2.19	0.82	1.61	1.15	6.44	1.33	1.34	2.00	1.76	0.52
mauieblaowie.txt	1	1544	54.52	36.32	76.44	29.01	53.24	16.77	82.51	5.70	2.91	2.72	0.19	0.97	0.52	8.68	0.52	0.52	0.58	1.17	5.12	1.75	1.17	0.19	1.75	5.51	1.30	0.84	2.59	0.65	0.52
BMcGComedy.txt	1	4673	77.16	64.37	37.50	17.66	12.11	20.20	75.90	5.95	2.67	3.23	0.19	1.35	0.60	10.10	0.53	0.92	0.56	1.73	2.72	0.98	0.73	0.17	0.79	7.51	2.29	1.56	2.57	1.58	0.49
gibabez.txt	1	1558	64.56	56.64	76.92	34.69	23.97	20.28	79.85	5.07	2.76	2.25	0.19	0.83	0.51	8.34	0.19	0.45	0.19	0.39	5.07	0.83	1.16	0.19	2.76	6.03	1.86	1.35	1.35	1.48	0.64
drunk_carlos.txt	1	521	54.27	15.45	74.51	12.92	30.65	16.51	81.96	8.25	3.65	4.61	0.19	2.30	1.54	6.72	0.77	0.38	2.11	0.58	4.80	1.92	0.96	2.69	0.58	8.25	2.11	2.50	2.11	2.50	0.38
eGREGiousme.txt	1	3653	34.62	38.89	63.72	15.07	8.01	13.17	87.13	7.39	3.31	4.08	0.19	2.52	0.66	9.06	0.41	0.33	0.66	0.79	3.83	1.07	0.99	0.68	1.12	8.21	2.33	1.31	2.85	1.62	0.68
Swemps.txt	1	4183	64.81	40.17	62.45	63.39	11.62	12.05	73.11	6.41	4.16	2.18	0.19	1.03	0.43	5.40	0.07	0.22	0.31	0.77	2.96	1.48	0.62	0.17	0.84	7.20	1.41	1.91	2.08	3.30	0.48
tyedyejer92.txt	1	4719	50.27	21.71	93.90	22.49	18.73	14.30	86.69	5.76	2.75	2.97	0.19	1.95	0.28	7.12	0.70	0.25	0.28	1.08	4.45	1.31	1.46	0.97	0.51	8.92	2.31	1.63	2.33	3.05	0.19
15philk.txt	1	11663	43.89	44.28	43.22	23.10	38.75	14.51	75.58	6.15	2.94	3.11	0.19	1.61	0.52	10.41	1.11	0.61	1.36	1.28	4.46	2.08	0.53	0.66	1.25	6.18	2.04	0.78	1.80	1.72	0.37
toohightooshy.txt	1	6429	28.91	47.39	49.06	27.58	45.60	14.53	80.37	7.92	3.95	3.84	0.19	2.21	0.51	10.95	0.40	1.04	0.89	1.32	3.95	1.51	0.53	1.28	0.59	6.69	2.35	0.90	1.80	1.43	0.67
